Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A689724,*Donatello,10/18/2014 06:52:00 PM,Oct 2014,08/01/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A680969,*Zeus,08/05/2014 04:59:00 PM,Aug 2014,06/03/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
A730621,*Liza,09/10/2016 06:59:00 PM,Sep 2016,05/18/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A801106,,08/16/2019 02:05:00 PM,Aug 2019,05/06/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A873218,*Lava Cake,06/13/2023 12:15:00 PM,Jun 2023,01/22/2021,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A792258,Vesper,04/10/2019 08:53:00 PM,Apr 2019,09/08/2016,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A705205,*Dell,06/20/2015 04:25:00 PM,Jun 2015,03/30/2015,Adoption,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
A860161,*Lalo,07/19/2022 03:53:00 PM,Jul 2022,05/04/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A696409,*Hans,02/09/2015 06:46:00 PM,Feb 2015,11/19/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A778589,,09/26/2018 10:04:00 AM,Sep 2018,07/02/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A707363,Jaguar,09/12/2015 06:12:00 PM,Sep 2015,05/29/2015,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A657197,Gecko,10/09/2013 01:15:00 PM,Oct 2013,05/12/2013,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A783412,*Yams,12/16/2018 12:45:00 PM,Dec 2018,10/30/2008,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black
A686459,*Lovey,09/21/2014 05:39:00 PM,Sep 2014,07/15/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A799580,*Roger Rabbit,08/19/2019 07:09:00 PM,Aug 2019,05/10/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White
A671125,,01/20/2014 06:32:00 PM,Jan 2014,11/03/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A666111,*Jerry,10/29/2013 06:47:00 PM,Oct 2013,07/29/2013,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A827385,Mittens,01/27/2021 08:51:00 AM,Jan 2021,12/20/2019,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby/White
A718784,*Marigold,01/12/2016 11:52:00 AM,Jan 2016,10/07/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A739966,*Skippyjohn,02/10/2017 07:34:00 AM,Feb 2017,11/09/2016,Adoption,Foster,Cat,Neutered Male,3 months,Siamese Mix,Seal Point
A801634,Simba,10/15/2019 06:21:00 PM,Oct 2019,04/06/2019,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White/Brown Tabby
A747746,*Hops,05/28/2017 05:44:00 PM,May 2017,04/24/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A842461,*Ruby,10/27/2021 09:50:00 AM,Oct 2021,08/05/2021,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A676139,*Iona,03/08/2017 07:51:00 AM,Mar 2017,04/09/2008,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
A774385,,06/30/2018 04:45:00 PM,Jun 2018,04/07/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A771075,,06/23/2018 08:16:00 PM,Jun 2018,04/15/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A726827,Sweet Pea,05/29/2017 05:07:00 PM,May 2017,04/15/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A796941,*Carrot,08/03/2019 02:40:00 PM,Aug 2019,04/27/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby
A731104,*Zakarin,09/20/2016 11:28:00 AM,Sep 2016,04/20/2016,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A771103,,06/23/2018 05:45:00 PM,Jun 2018,03/16/2018,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue
A744629,Hazel,03/15/2017 11:49:00 AM,Mar 2017,03/04/2012,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue/White
A720562,*Joni,02/21/2016 12:39:00 PM,Feb 2016,02/11/2012,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie
A761895,,11/18/2017 02:25:00 PM,Nov 2017,09/03/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby
A848454,Olli,01/07/2022 01:02:00 PM,Jan 2022,04/20/2014,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Orange Tabby
A729037,Blanco,07/01/2016 06:44:00 PM,Jul 2016,04/12/2016,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A797068,Chumley,06/15/2019 05:25:00 PM,Jun 2019,06/08/2017,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A773488,*O'Malley,07/25/2018 06:31:00 AM,Jul 2018,04/29/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A697608,Effie,02/27/2015 06:10:00 PM,Feb 2015,11/26/2014,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/White
A753292,Chaco,07/05/2017 03:19:00 PM,Jul 2017,07/04/2001,Adoption,,Cat,Neutered Male,16 years,Persian,White/Brown Tabby
A753146,*Susan,08/05/2017 05:40:00 PM,Aug 2017,06/02/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A664661,Lily,10/13/2013 05:04:00 PM,Oct 2013,08/07/2013,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A752298,Maddie,08/15/2017 02:13:00 PM,Aug 2017,06/20/2009,Adoption,,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Torbie
A702402,*Tic,07/08/2015 08:55:00 AM,Jul 2015,04/06/2015,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A729769,*Gracie,07/03/2016 01:52:00 PM,Jul 2016,06/23/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
A742748,Elsie,06/23/2018 08:45:00 PM,Jun 2018,01/27/2007,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Black
A886663,*Twinkle,08/19/2023 03:17:00 PM,Aug 2023,04/09/2023,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby/White
A793783,Spinner,07/13/2019 02:54:00 PM,Jul 2019,04/20/2019,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
A823496,*Rigatoni,11/03/2020 09:15:00 AM,Nov 2020,08/17/2020,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White
A736505,Tommy,11/20/2016 05:44:00 PM,Nov 2016,09/19/2016,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A819006,Little Girl,08/11/2020 05:05:00 PM,Aug 2020,03/19/2018,Adoption,,Cat,Spayed Female,2 years,Domestic Longhair,White
A754796,*Guppy,09/30/2017 09:51:00 AM,Sep 2017,06/30/2017,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A688756,,09/27/2014 05:08:00 PM,Sep 2014,07/08/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
A816306,*Jelly Bean,06/17/2020 01:23:00 PM,Jun 2020,04/12/2020,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A749133,*Cowboy,08/01/2020 08:12:00 AM,Aug 2020,04/05/2017,Adoption,Foster,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White/Black
A774672,,07/15/2018 04:43:00 PM,Jul 2018,04/25/2018,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
