Animal_ID,Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,Outcome_Type,was_outcome_alive,days_stayed
A633435,BLACK,Unknown,4,9/11/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,1092
A617932,BRN TABBY,Spayed,6,12/19/18,NORMAL,STRAY,ADOPTION,1,799
A634597,BRN TABBY,Spayed,9,10/4/19,NORMAL,OWNER SURRENDER,ADOPTION,1,760
A592391,ORG TABBY,Neutered,12,6/24/17,ILL MILD,STRAY,ADOPTION,1,685
A593445,BRN TABBY,Neutered,8,7/13/17,NORMAL,STRAY,ADOPTION,1,666
A590137,GRAY TABBY,Spayed,8,5/10/17,NORMAL,STRAY,ADOPTION,1,661
A593811,BROWN,Spayed,19,7/19/17,NORMAL,OWNER SURRENDER,ADOPTION,1,660
A612369,WHITE,Spayed,5,8/4/18,NORMAL,STRAY,ADOPTION,1,658
A658604,BLACK,Neutered,2,6/11/21,NORMAL,STRAY,ADOPTION,1,615
A658603,BLACK,Neutered,2,6/11/21,NORMAL,STRAY,ADOPTION,1,615
A658270,TAN,Neutered,8,6/3/21,NORMAL,WELFARE SEIZED,ADOPTION,1,610
A636821,WHITE,Female,6,11/29/19,INJURED  MILD,STRAY,ADOPTION,1,530
A601124,GRAY TABBY,Spayed,7,12/15/17,NORMAL,STRAY,ADOPTION,1,511
A657349,ORG TABBY,Neutered,2,5/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,484
A658571,ORG TABBY,Neutered,2,6/9/21,ILL MILD,STRAY,ADOPTION,1,456
A651804,BLACK,Spayed,2,11/22/20,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,452
A673825,UNKNOWN,Spayed,4,5/1/22,NORMAL,"TRAP, NEUTER, RETURN",ADOPTION,1,442
A637747,BLACK,Spayed,13,12/19/19,NORMAL,WELFARE SEIZED,ADOPTION,1,434
A660175,BLACK,Female,2,7/9/21,NORMAL,STRAY,ADOPTION,1,426
A682290,UNKNOWN,Spayed,6,8/20/22,NORMAL,STRAY,ADOPTION,1,413
A650412,WHITE,Spayed,7,10/24/20,ILL MODERATETE,OWNER SURRENDER,ADOPTION,1,409
A601592,BROWN,Neutered,6,12/31/17,NORMAL,STRAY,ADOPTION,1,408
A657366,BRN TABBY,Spayed,2,5/13/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,398
A662407,GRAY,Female,2,8/25/21,NORMAL,STRAY,ADOPTION,1,394
A653395,ORANGE,Neutered,5,1/23/21,ILL MILD,STRAY,ADOPTION,1,390
A628910,WHITE,Spayed,7,6/26/19,NORMAL,STRAY,ADOPTION,1,387
A656203,GRAY,Neutered,2,4/12/21,NORMAL,STRAY,ADOPTION,1,366
A656208,BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A656207,BLACK,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A656206,BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A656205,BRN TABBY,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A586969,WHITE,Neutered,7,4/13/22,NORMAL,RETURN,ADOPTION,1,345
A593764,GRAY TABBY,Spayed,9,7/18/17,NORMAL,STRAY,ADOPTION,1,337
A673529,BLACK,Spayed,1,4/24/22,NORMAL,STRAY,ADOPTION,1,334
A594880,GRAY,Female,9,8/6/17,NORMAL,STRAY,ADOPTION,1,331
A570306,BLACK,Spayed,8,3/25/21,NORMAL,OWNER SURRENDER,ADOPTION,1,329
A674032,GRAY,Spayed,4,5/5/22,NORMAL,OWNER SURRENDER,ADOPTION,1,329
A606017,BRN TABBY,Neutered,7,4/9/18,FRACTIOUS,STRAY,ADOPTION,1,327
A626422,BRN TABBY,Female,4,5/15/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,318
A674048,GRAY,Neutered,8,5/5/22,NORMAL,OWNER SURRENDER,ADOPTION,1,316
A594511,BLACK,Male,6,7/30/17,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,314
A626683,GRAY TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,314
A626684,BRN TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,314
A655347,WHITE,Neutered,6,3/24/21,NORMAL,STRAY,ADOPTION,1,308
A627465,BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,ADOPTION,1,307
A627468,BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,ADOPTION,1,307
A656204,GRAY,Neutered,2,6/12/21,NORMAL,OWNER SURRENDER,ADOPTION,1,307
A659813,TORTIE DIL,Spayed,4,7/3/21,NORMAL,STRAY,ADOPTION,1,305
A664277,GRAY,Neutered,2,11/7/21,UNDER AGE/WEIGHT,RETURN,ADOPTION,1,305
A642372,WHITE,Spayed,5,5/3/20,ILL MILD,STRAY,ADOPTION,1,298
A588029,BLACK,Neutered,9,4/3/17,NORMAL,STRAY,ADOPTION,1,297
A627959,GRAY,Spayed,7,6/8/19,NORMAL,STRAY,ADOPTION,1,294
A623264,WHITE,Spayed,9,3/15/19,NORMAL,OWNER SURRENDER,ADOPTION,1,287
A654670,BLACK,Spayed,4,3/5/21,NORMAL,STRAY,ADOPTION,1,285
A504055,BRN TABBY,Neutered,10,5/18/18,NORMAL,STRAY,ADOPTION,1,284
A649515,BLACK,Spayed,3,9/30/20,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,283
A655963,BLACK,Spayed,5,4/7/21,NORMAL,OWNER SURRENDER,ADOPTION,1,283
A673663,GRAY TABBY,Neutered,3,4/1/22,NORMAL,STRAY,ADOPTION,1,280
A642890,GRAY TABBY,Neutered,9,5/24/20,NORMAL,OWNER SURRENDER,ADOPTION,1,277
A571435,WHITE,Neutered,12,5/25/20,INJURED  MODERATE,STRAY,ADOPTION,1,276
A629596,WHITE,Female,6,7/10/19,NORMAL,STRAY,ADOPTION,1,275
A629600,WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A629604,WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A629605,WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A629602,WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A678133,BRN TABBY,Female,1,6/22/22,NORMAL,STRAY,ADOPTION,1,275
A628692,BLACK,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,271
A628693,BLACK,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,271
A627182,BLACK,Neutered,6,5/28/19,INJURED  SEVERE,OWNER SURRENDER,ADOPTION,1,268
A674030,GRAY,Spayed,5,5/5/22,NORMAL,OWNER SURRENDER,ADOPTION,1,268
A589699,SNOWSHOE,Spayed,11,5/4/17,NORMAL,OWNER SURRENDER,ADOPTION,1,266
A657981,CALICO,Spayed,2,5/28/21,NORMAL,STRAY,ADOPTION,1,265
A664860,GRAY TABBY,Neutered,2,10/5/21,NORMAL,STRAY,ADOPTION,1,264
A611558,BLACK,Spayed,8,7/25/18,INJURED  MILD,STRAY,ADOPTION,1,261
