Type,Breed,Color,Sex,Size,Days in Shelter,Intake Type,Outcome Type,Intake Condition,Age,Encoded Color,Encoded Breed,Encoded Intake Condition,Encoded Size,Encoded Sex
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,81,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,32,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,94,STRAY,ADOPTION,HEALTHY,0,6,1,0,3,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,80,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,KITTN,70,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,3
CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,94,STRAY,ADOPTION,HEALTHY,0,6,1,0,3,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,56,STRAY,ADOPTION,UNKNOWN,0,0,2,3,0,2
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,31,OWNER SURRENDER,ADOPTION,HEALTHY,0,0,2,0,0,2
CAT,DOMESTIC LH,GRAY/WHITE,Neutered,KITTN,43,STRAY,ADOPTION,TREATABLE/REHAB,8,5,0,2,0,2
CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,18,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,3,0,0,2
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,60,STRAY,ADOPTION,UNKNOWN,0,0,2,3,0,2
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,18,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,44,STRAY,ADOPTION,HEALTHY,2,6,1,0,3,2
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,23,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,45,STRAY,ADOPTION,HEALTHY,0,0,2,0,0,3
CAT,DOMESTIC MH,BLACK,Neutered,SMALL,55,STRAY,ADOPTION,HEALTHY,3,0,1,0,3,2
CAT,DOMESTIC MH,GRAY,Neutered,KITTN,34,STRAY,ADOPTION,HEALTHY,0,3,1,0,0,2
CAT,DOMESTIC SH,GRAY,Neutered,SMALL,20,STRAY,ADOPTION,HEALTHY,7,3,2,0,3,2
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,28,STRAY,ADOPTION,HEALTHY,1,6,2,0,0,3
CAT,DOMESTIC SH,GRAY TABBY/BLUE CREAM,Spayed,KITTN,28,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,ABYSSINIAN/DOMESTIC SH,AGOUTI/BRN TABBY,Neutered,SMALL,55,STRAY,ADOPTION,HEALTHY,2,6,2,0,3,2
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,46,STRAY,ADOPTION,HEALTHY,1,6,1,0,3,2
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,12,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC LH,BRN TABBY,Neutered,KITTN,28,STRAY,ADOPTION,HEALTHY,0,6,0,0,0,2
CAT,DOMESTIC LH,BLACK/WHITE,Neutered,KITTN,34,STRAY,ADOPTION,HEALTHY,0,5,0,0,0,2
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,98,STRAY,ADOPTION,UNKNOWN,0,5,2,3,0,3
CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,43,STRAY,ADOPTION,TREATABLE/REHAB,0,5,2,2,3,2
CAT,DOMESTIC SH,GRAY,Spayed,KITTN,41,STRAY,ADOPTION,TREATABLE/REHAB,0,3,2,2,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,9,OWNER SURRENDER,ADOPTION,HEALTHY,6,5,2,0,0,3
CAT,DOMESTIC SH,TORTIE/WHITE,Spayed,KITTN,9,OWNER SURRENDER,ADOPTION,HEALTHY,6,5,2,0,0,3
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,33,STRAY,ADOPTION,HEALTHY,9,0,2,0,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,1,ADOPTION RETURN,ADOPTION,HEALTHY,0,5,2,0,0,2
CAT,DOMESTIC SH,WHITE/BLACK,Spayed,SMALL,27,STRAY,ADOPTION,HEALTHY,0,5,2,0,3,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,101,STRAY,ADOPTION,UNKNOWN,0,5,2,3,0,2
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,104,BORN HERE,ADOPTION,UNKNOWN,0,5,2,3,0,2
CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,31,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,1,0,3,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,23,STRAY,ADOPTION,HEALTHY,0,0,2,0,0,2
CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,20,STRAY,ADOPTION,HEALTHY,0,5,2,0,0,3
CAT,DOMESTIC MH,WHITE/GRAY,Spayed,SMALL,10,OWNER SURRENDER,ADOPTION,HEALTHY,11,5,1,0,3,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,45,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,71,STRAY,ADOPTION,HEALTHY,8,6,2,0,3,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,45,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,22,STRAY,ADOPTION,HEALTHY,0,5,2,0,3,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,36,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC MH,GRAY/WHITE,Spayed,SMALL,32,OWNER SURRENDER,ADOPTION,HEALTHY,0,5,1,0,3,3
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,29,STRAY,ADOPTION,HEALTHY,0,0,2,0,3,3
CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,12,STRAY,ADOPTION,TREATABLE/REHAB,0,5,2,2,0,3
CAT,DOMESTIC SH,TORTIE/WHITE,Spayed,SMALL,27,CONFISCATE,ADOPTION,HEALTHY,2,5,2,0,3,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,12,STRAY,ADOPTION,TREATABLE/REHAB,0,0,2,2,0,2
CAT,DOMESTIC MH,WHITE/BLACK,Spayed,KITTN,67,STRAY,ADOPTION,HEALTHY,0,5,1,0,0,3
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,6,ADOPTION RETURN,ADOPTION,UNKNOWN,2,6,2,3,3,3
CAT,DOMESTIC MH,WHITE/BLACK,Neutered,KITTN,67,STRAY,ADOPTION,HEALTHY,0,5,1,0,0,2
CAT,DOMESTIC MH,BLACK,Neutered,SMALL,11,ADOPTION RETURN,ADOPTION,HEALTHY,3,0,1,0,3,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,25,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,SIAMESE,SEAL PT,Neutered,SMALL,11,STRAY,ADOPTION,TREATABLE/REHAB,2,5,3,2,3,2
CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,KITTN,25,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,41,STRAY,ADOPTION,UNKNOWN,0,5,2,3,0,2
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,63,STRAY,ADOPTION,HEALTHY,1,0,2,0,0,3
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,SMALL,41,STRAY,ADOPTION,HEALTHY,4,5,1,0,3,2
CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,34,STRAY,ADOPTION,HEALTHY,2,6,2,0,3,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,43,STRAY,ADOPTION,UNKNOWN,0,0,2,3,0,2
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,47,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC SH,CALICO,Spayed,KITTN,66,STRAY,ADOPTION,HEALTHY,0,2,2,0,0,3
CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,7,OWNER SURRENDER,ADOPTION,HEALTHY,5,6,2,0,0,2
CAT,DOMESTIC SH/MIX,BRN TABBY/WHITE,Spayed,KITTN,31,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH/MIX,BRN TABBY,Spayed,KITTN,32,OWNER SURRENDER,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,42,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,18,STRAY,ADOPTION,UNKNOWN,0,6,2,3,3,2
CAT,DOMESTIC LH,ORG TABBY/WHITE,Neutered,SMALL,49,STRAY,ADOPTION,HEALTHY,3,6,0,0,3,2
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,64,STRAY,ADOPTION,UNKNOWN,0,6,2,3,0,2
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,36,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,36,STRAY,ADOPTION,HEALTHY,0,6,2,0,0,2
