Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Outcome Date,Outcome Type,days_stayed
BROWN,WHITE,Spayed,9/26/15,8,12/18/20,NORMAL,RETURN,SPCALA,2/11/21,ADOPTION,55
BLACK,WHITE,Female,10/6/16,7,1/6/17,NORMAL,STRAY,OTC,1/22/17,ADOPTION,16
BLUE,,Neutered,1/7/07,16,1/7/17,NORMAL,STRAY,OTC,2/15/17,ADOPTION,39
WHITE,TAN,Male,1/19/07,16,1/8/17,INJURED  SEVERE,STRAY,FIELD,1/29/17,ADOPTION,21
TAN,,Neutered,7/25/16,7,1/25/17,NORMAL,OWNER SURRENDER,OTC,3/17/17,ADOPTION,51
GRAY,,Unknown,12/28/16,6,1/28/17,NORMAL,SAFE KEEP,HOSPITAL,2/11/17,ADOPTION,14
WHITE,BROWN,Male,1/1/14,9,1/1/17,NORMAL,STRAY,FIELD,1/15/17,ADOPTION,14
TRICOLOR,,Spayed,1/1/12,11,1/1/17,NORMAL,STRAY,FIELD,2/15/17,ADOPTION,45
WHITE,BROWN,Male,1/1/15,8,1/1/17,NORMAL,STRAY,FIELD,1/8/17,ADOPTION,7
WHITE,BROWN,Female,1/3/14,9,1/3/17,NORMAL,STRAY,FIELD,1/15/17,ADOPTION,12
BLACK,WHITE,Female,6/14/16,7,1/4/17,NORMAL,STRAY,OTC,1/21/17,ADOPTION,17
GRAY,WHITE,Spayed,5/3/11,12,1/18/17,NORMAL,OWNER SURRENDER,OTC,4/2/17,ADOPTION,74
BLACK,,Spayed,5/12/13,10,1/18/17,FERAL,OWNER SURRENDER,OTC,2/19/17,ADOPTION,32
GRAY,CALICO,Female,1/18/14,9,1/18/17,NORMAL,STRAY,OTC,1/26/17,ADOPTION,8
BLACK,TAN,Female,2/9/13,10,2/9/17,NORMAL,STRAY,OTC,3/19/17,ADOPTION,38
BROWN,WHITE,Neutered,2/10/14,9,2/10/17,INJURED  MILD,STRAY,FIELD,3/15/17,ADOPTION,33
BROWN,WHITE,Spayed,2/4/11,12,2/2/17,NORMAL,STRAY,OTC,2/12/17,ADOPTION,10
BLACK,TAN,Spayed,2/4/14,9,2/4/17,NORMAL,STRAY,OTC,2/25/17,ADOPTION,21
TAN,BROWN,Neutered,2/4/16,7,2/4/17,NORMAL,OWNER SURRENDER,OTC,3/10/17,ADOPTION,34
BR BRINDLE,WHITE,Male,2/4/16,7,2/4/17,INJURED  MILD,STRAY,FIELD,2/17/17,ADOPTION,13
BLACK,BROWN,Neutered,2/8/09,14,2/8/17,NORMAL,STRAY,OTC,5/10/17,ADOPTION,91
CALICO,,Spayed,2/8/14,9,2/8/17,NORMAL,OWNER SURRENDER,OTC,4/27/17,ADOPTION,78
TAN,WHITE,Male,2/15/15,8,2/15/17,NORMAL,STRAY,OTC,4/9/17,ADOPTION,53
SEAL PT,,Neutered,2/16/16,7,2/16/17,NORMAL,STRAY,OTC,2/25/17,ADOPTION,9
BRN TABBY,,Spayed,2/16/14,9,2/16/17,NORMAL,STRAY,OTC,3/11/17,ADOPTION,23
