intake_age,days_in_shelter,simplified_color_one_color,simplified_color_tabby,simplified_sex_male,simplified_condition_ill,simplified_condition_other,simplified_type_owner_surrender,simplified_type_stray,simplified_breed_other,simplified_size_other,simplified_size_small
0,81,0,1,0,0,1,0,1,0,0,0
0,32,0,1,0,0,0,1,0,0,0,0
0,94,0,1,0,0,0,0,1,0,0,1
0,80,0,1,1,0,1,0,1,0,0,0
0,70,0,1,0,0,1,0,1,0,0,0
0,56,1,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1
0,31,1,0,1,0,0,1,0,0,0,0
0,43,0,0,1,1,0,0,1,0,0,0
0,18,0,0,1,0,0,1,0,1,0,0
0,60,1,0,1,0,1,0,1,0,0,0
0,18,0,1,0,0,0,0,1,0,0,0
1,44,0,1,1,0,0,0,1,0,0,1
0,23,0,1,1,0,0,0,1,0,0,0
0,45,1,0,0,0,0,0,1,0,0,0
2,55,1,0,1,0,0,0,1,0,0,1
0,34,1,0,1,0,0,0,1,0,0,0
0,20,1,0,1,0,0,0,1,0,0,1
0,28,0,1,0,0,0,0,1,0,0,0
0,28,0,1,0,0,0,0,1,0,0,0
1,55,0,1,1,0,0,0,1,0,0,1
0,46,0,1,1,0,0,0,1,0,0,1
0,12,0,1,1,0,0,0,1,0,0,0
0,28,0,1,1,0,0,0,1,0,0,0
0,34,0,0,1,0,0,0,1,0,0,0
0,98,0,0,0,0,1,0,1,0,0,0
0,43,0,0,1,1,0,0,1,0,0,1
0,41,1,0,0,1,0,0,1,0,0,0
0,9,0,0,0,0,0,1,0,0,0,0
0,9,0,0,0,0,0,1,0,0,0,0
0,33,1,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0
0,27,0,0,0,0,0,0,1,0,0,1
0,101,0,0,1,0,1,0,1,0,0,0
0,31,1,0,0,0,0,1,0,0,0,1
0,23,1,0,1,0,0,0,1,0,0,0
0,20,0,0,0,0,0,0,1,0,0,0
4,10,0,0,0,0,0,1,0,0,0,1
0,45,0,1,1,0,0,0,1,0,0,0
7,71,0,1,0,0,0,0,1,0,0,1
0,45,0,1,0,0,0,0,1,0,0,0
0,22,0,0,1,0,0,0,1,0,0,1
0,36,0,1,1,0,0,0,1,0,0,0
0,32,0,0,0,0,0,1,0,0,0,1
0,29,1,0,0,0,0,0,1,0,0,1
0,12,0,0,0,1,0,0,1,0,0,0
1,27,0,0,0,0,0,0,0,0,0,1
0,12,1,0,1,1,0,0,1,0,0,0
0,67,0,0,0,0,0,0,1,0,0,0
2,6,0,1,0,0,1,0,0,0,0,1
0,67,0,0,1,0,0,0,1,0,0,0
3,11,1,0,1,0,0,0,0,0,0,1
0,25,0,1,1,0,0,1,0,0,0,0
1,11,0,0,1,1,0,0,1,1,0,1
0,25,0,1,1,0,0,0,1,0,0,0
0,41,0,0,1,0,1,0,1,0,0,0
0,63,1,0,0,0,0,0,1,0,0,0
4,41,0,0,1,0,0,0,1,0,0,1
1,34,0,1,0,0,0,0,1,0,0,1
0,43,1,0,1,0,1,0,1,0,0,0
0,47,0,1,1,0,1,0,1,0,0,0
0,66,1,0,0,0,0,0,1,0,0,0
0,7,0,1,1,0,0,1,0,0,0,0
0,31,0,1,0,0,0,1,0,0,0,0
0,32,0,1,0,0,0,1,0,0,0,0
0,42,0,1,0,0,0,0,1,0,0,0
0,18,0,1,1,0,1,0,1,0,0,1
2,49,0,1,1,0,0,0,1,0,0,1
0,64,0,1,1,0,1,0,1,0,0,0
0,36,0,1,1,0,0,0,1,0,0,0
0,2,0,1,1,0,0,1,0,0,0,0
2,59,0,0,1,0,0,0,1,0,0,1
0,57,0,1,1,0,0,0,1,0,0,0
0,39,1,0,0,0,0,0,1,0,0,0
0,69,0,0,0,0,0,0,1,0,0,0
0,35,1,0,0,0,0,1,0,0,0,0
2,110,0,0,0,0,0,0,1,0,0,1
0,23,0,1,1,0,0,1,0,0,0,1
0,50,1,0,0,0,0,0,1,0,0,1
0,89,0,1,1,1,0,0,1,0,0,0
0,29,0,1,1,0,0,1,0,0,0,1
0,34,0,1,0,0,0,0,1,0,0,0
0,9,0,0,1,0,0,0,1,0,0,1
2,94,0,1,1,0,0,0,1,0,0,1
1,51,0,1,1,0,0,0,1,0,0,1
0,58,0,1,0,0,0,0,1,0,0,1
0,13,0,0,1,1,0,0,0,0,0,1
7,84,0,0,0,1,0,0,0,0,0,1
0,47,0,1,1,0,0,0,1,0,0,0
0,24,0,0,1,0,0,0,1,0,0,1
0,40,1,0,0,0,0,0,1,0,0,0
0,29,0,1,1,0,0,1,0,0,0,0
0,29,0,1,0,0,0,0,1,0,0,0
0,20,0,0,1,0,0,0,1,0,0,1
0,35,0,1,0,0,1,0,1,0,0,0
0,35,0,1,0,0,1,0,1,0,0,0
1,94,1,0,0,0,1,0,1,0,0,1
0,45,0,1,0,0,1,0,1,0,0,0
0,59,0,1,0,0,0,0,1,0,0,0
0,25,0,1,0,0,0,1,0,0,0,0
0,79,1,0,0,0,0,0,1,0,0,0
0,36,0,1,0,0,1,0,1,0,0,0
0,81,0,0,0,0,1,0,1,0,0,0
0,16,0,1,1,0,0,0,1,0,0,1
0,63,0,1,1,1,0,0,1,0,0,0
4,42,0,0,0,0,0,0,1,1,0,1
0,82,1,0,1,0,0,0,1,0,0,0
0,15,0,0,0,0,0,0,1,0,0,1
0,52,0,1,1,1,0,0,1,0,0,0
