simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded,simplified_breed_encoded,simplified_size_encoded
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,81,2,0,2,2,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,32,2,0,0,1,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,94,2,0,0,2,0,2
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,80,2,1,2,2,0,0
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,70,2,0,2,2,0,0
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,56,1,1,2,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,0,1,0,0,2,0,2
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31,1,1,0,1,0,0
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,43,0,1,1,2,0,0
MIX,MALE,0,HEALTHY,OWNER SURRENDER,OTHER,KITTN,18,0,1,0,1,1,0
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,60,1,1,2,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,18,2,0,0,2,0,0
TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,44,2,1,0,2,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,23,2,1,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,45,1,0,0,2,0,0
ONE COLOR,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,55,1,1,0,2,0,2
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34,1,1,0,2,0,0
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,20,1,1,0,2,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28,2,0,0,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28,2,0,0,2,0,0
TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,55,2,1,0,2,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,46,2,1,0,2,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,12,2,1,0,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28,2,1,0,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34,0,1,0,2,0,0
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,98,0,0,2,2,0,0
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,SMALL,43,0,1,1,2,0,2
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,41,1,0,1,2,0,0
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9,0,0,0,1,0,0
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9,0,0,0,1,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,33,1,0,0,2,0,0
MIX,MALE,0,HEALTHY,OTHER,DOMESTIC BREED,KITTN,1,0,1,0,0,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,27,0,0,0,2,0,2
MIX,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,101,0,1,2,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,31,1,0,0,1,0,2
