Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
*MINNIE,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,08/02/2023,K23-045840,CA03,A420013,08/29/2023,11/18/2023,81,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,95461,"95461(38.75402, -122.61931)",1
*DEEDEE,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,07/20/2023,K23-046144,LOBBY,A420501,10/17/2023,11/18/2023,32,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*MINDY,CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,08/09/2023,K23-045723,LOBBY,A419695,08/16/2023,11/18/2023,94,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*STING,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,07/29/2023,K23-045841,WESTFARM,A420014,08/29/2023,11/17/2023,80,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*TESS,CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,KITTN,05/07/2023,K23-044867,LOBBY,A417889,05/30/2023,08/08/2023,70,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*MISTY,CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,08/09/2023,K23-045724,LOBBY,A419696,08/16/2023,11/18/2023,94,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*MITEY MOUSE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/22/2023,K23-045015,LOBBY,A418221,06/13/2023,08/08/2023,56,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*BERTI,CAT,DOMESTIC MH,BLACK,Spayed,SMALL,08/24/2023,K23-046378,LOBBY,A421033,10/08/2023,,0,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.3499842, -122.6928413)",1
*COLE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,07/18/2023,K23-046511,LOBBY,A421316,10/18/2023,11/18/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
KALUHA,CAT,DOMESTIC LH,GRAY/WHITE,Neutered,KITTN,08/11/2015,K15-016086,LOBBY,A327287,09/22/2015,11/04/2015,43,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
