Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A414780,HAPPY,CAT,ORANGE,WHITE,Neutered,2010-04-25,13.0,2021-09-08,NORMAL,STRAY,OTC,,2021-12-15,"3900 BLK FALCON AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A458315,PELE,CAT,ORANGE,,Spayed,2010-06-28,13.0,2018-10-21,NORMAL,OWNER SURRENDER,OTC,DIVORCE,2019-01-23,"800 LINDEN AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A510845,MITZIE,CAT,TRICOLOR,,Spayed,2012-09-28,11.0,2021-08-04,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2021-08-21,"2600 BLK EUCALYPTUS AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A516312,BELL,CAT,BLACK,,Spayed,2013-05-12,10.0,2017-01-18,FERAL,OWNER SURRENDER,OTC,ALLERGIC,2017-02-19,"1300 E HARDING ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A556069,SNOW,CAT,FLAME PT,,Neutered,2014-06-01,9.0,2022-06-04,NORMAL,OWNER SURRENDER,OTC,,2022-07-22,"5400 BLK LEMON AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A569967,CHARLES,CAT,GRAY,WHITE,Neutered,2016-04-03,7.0,2017-10-20,NORMAL,STRAY,OTC,ESCAPES,2017-10-28,"3000 BLK SEBEREN AVE, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,GOOD SAM,Alive on Intake,FALSE,1
A584192,*WILMA,CAT,BLACK,WHITE,Female,2016-10-06,7.0,2017-01-06,NORMAL,STRAY,OTC,,2017-01-22,"5800 BLK E OAKBROOK ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A584240,*GILLY,CAT,BLUE,,Neutered,2007-01-07,16.0,2017-01-07,NORMAL,STRAY,OTC,,2017-02-15,"1900 BLK DAWSON AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A584761,PETUNIA,CAT,GRAY,CALICO,Female,2014-01-18,9.0,2017-01-18,NORMAL,STRAY,OTC,,2017-01-26,"1700 ADOLFO LOPEZ DR, SEAL BEACH, CA 90740",SEAL BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A585547,ABBY SCOTCH,CAT,CALICO,,Spayed,2014-02-08,9.0,2017-02-08,NORMAL,OWNER SURRENDER,OTC,MOVE,2017-04-27,"2500 E 10TH ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A586754,,CAT,SEAL PT,,Female,2016-09-09,7.0,2017-03-08,NORMAL,STRAY,OTC,,2017-03-19,"1100 RAYMOND AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A586898,*MARILYN MONROE,CAT,BLACK,WHITE,Spayed,2016-07-10,7.0,2017-03-10,NORMAL,STRAY,OTC,,2017-03-29,"12100 BLK BERTHA ST, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,Alive on Intake,FALSE,1
