age,days_stayed,simplified_color_black,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_female,simplified_sex_male,simplified_condition_ill_mild,simplified_condition_ill_severe,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_other,simplified_type_owner_surrender,simplified_type_stray
13,98,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
13,94,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
11,17,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
10,32,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
9,48,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
7,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,78,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
7,11,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
7,19,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,8,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
8,14,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
10,127,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6,50,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
11,34,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
11,29,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,42,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
6,14,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
6,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,19,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
6,10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
6,75,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,23,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,14,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
8,11,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,27,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,42,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
7,31,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,18,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,64,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,40,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,119,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
6,14,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6,55,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
9,125,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
7,72,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,113,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
6,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,32,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,28,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
7,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
10,83,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,25,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
6,25,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
