intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
8,94,0,1,0,0,0,0,1,0,0,1,0
8,17,0,1,0,0,0,0,1,0,0,1,0
3,32,0,0,0,0,0,0,0,1,0,1,0
8,48,0,1,0,0,1,0,1,0,0,1,0
1,8,1,0,0,0,1,0,1,0,0,0,1
0,16,0,0,0,0,0,0,1,0,0,0,1
3,8,1,0,0,0,0,0,1,0,0,0,1
3,78,0,1,0,0,0,0,1,0,0,1,0
0,11,0,1,0,0,0,0,1,0,0,0,1
0,19,0,0,0,0,0,0,1,0,0,0,1
9,58,0,0,1,0,1,0,1,0,0,1,0
2,8,0,0,1,0,0,1,0,0,0,0,1
2,14,1,0,0,0,0,0,1,0,0,0,1
0,12,0,1,0,0,0,0,1,0,0,0,1
4,127,0,0,0,0,1,0,0,0,0,0,1
0,50,0,0,1,0,0,0,0,0,1,0,1
4,34,0,1,0,0,1,0,1,0,0,1,0
4,29,0,0,1,0,0,0,1,0,0,1,0
0,42,1,0,0,0,0,0,0,0,0,0,1
0,14,0,0,0,1,0,0,1,0,0,0,1
0,8,0,0,1,0,0,0,1,0,0,0,1
0,19,0,0,0,0,1,0,1,0,0,0,1
2,10,0,0,0,0,1,0,1,0,0,1,0
0,10,0,0,1,0,1,0,0,1,0,0,1
0,75,0,0,0,0,1,0,1,0,0,0,1
0,23,0,0,1,0,0,0,1,0,0,0,1
0,14,0,0,1,0,1,0,1,0,0,0,1
2,11,0,1,0,0,0,0,1,0,0,0,1
0,27,0,0,0,0,1,0,1,0,0,0,1
0,42,1,0,0,0,1,0,0,1,0,0,1
0,31,0,0,0,0,0,0,1,0,0,0,1
0,18,0,0,1,0,1,0,1,0,0,0,1
0,13,0,0,0,0,0,0,1,0,0,0,1
0,64,0,0,1,0,1,0,1,0,0,0,1
0,40,0,0,0,0,0,0,1,0,0,0,1
0,119,0,1,0,0,0,0,0,1,0,0,1
0,14,1,0,0,0,1,0,0,0,0,0,1
0,55,0,1,0,0,1,0,0,1,0,0,1
3,125,0,0,0,0,0,0,1,0,0,0,1
0,13,0,0,1,0,0,0,1,0,0,0,1
0,72,0,0,0,0,0,0,1,0,0,0,1
0,113,0,0,1,0,1,0,0,1,0,0,1
0,5,0,0,0,0,0,0,1,0,0,0,1
0,32,0,0,0,0,1,0,1,0,0,0,1
0,28,0,0,1,0,1,0,0,0,1,0,1
1,10,0,0,0,0,0,0,1,0,0,1,0
4,83,0,1,0,0,0,0,1,0,0,1,0
0,8,1,0,0,0,0,0,1,0,0,0,1
0,25,0,0,1,0,0,0,0,1,0,0,1
0,25,1,0,0,0,1,0,1,0,0,0,1
1,126,0,0,1,0,0,0,1,0,0,1,0
0,45,0,0,1,0,1,0,1,0,0,0,1
0,6,0,0,1,0,1,0,1,0,0,0,1
0,6,0,1,0,0,0,0,1,0,0,0,1
0,28,0,0,0,0,0,0,1,0,0,0,1
0,8,0,0,1,0,1,0,1,0,0,0,1
0,21,0,0,1,0,1,0,1,0,0,0,1
0,7,0,1,0,0,1,0,1,0,0,0,1
4,43,0,0,1,0,0,0,1,0,0,0,1
2,8,0,0,1,0,1,0,1,0,0,0,1
0,7,1,0,0,0,0,0,1,0,0,0,1
0,17,0,0,1,0,1,0,0,1,0,0,1
0,22,0,0,0,0,1,0,1,0,0,0,1
0,7,0,1,0,0,0,0,1,0,0,0,1
3,27,0,1,0,0,0,0,1,0,0,0,1
0,6,1,0,0,0,1,0,1,0,0,0,1
2,109,0,0,1,0,1,0,1,0,0,0,1
0,2,0,1,0,0,1,0,1,0,0,1,0
6,83,0,0,1,0,1,0,1,0,0,0,1
0,45,0,0,1,0,1,0,1,0,0,1,0
1,69,0,0,1,0,0,0,1,0,0,0,1
4,41,0,0,0,1,1,1,0,0,0,1,0
0,32,0,1,0,0,0,0,1,0,0,0,1
3,58,0,0,1,0,0,0,1,0,0,0,1
0,5,0,0,0,0,1,0,1,0,0,0,1
