simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
OTHER,MALE,13,NORMAL,STRAY,98,2,1,3,2
OTHER,FEMALE,13,NORMAL,OWNER SURRENDER,94,2,0,3,1
OTHER,FEMALE,11,NORMAL,OWNER SURRENDER,17,2,0,3,1
BLACK,FEMALE,10,OTHER,OWNER SURRENDER,32,0,0,4,1
OTHER,MALE,9,NORMAL,OWNER SURRENDER,48,2,1,3,1
GRAY,MALE,7,NORMAL,STRAY,8,1,1,3,2
BLACK,FEMALE,7,NORMAL,STRAY,16,0,0,3,2
GRAY,FEMALE,9,NORMAL,STRAY,8,1,0,3,2
OTHER,FEMALE,9,NORMAL,OWNER SURRENDER,78,2,0,3,1
OTHER,FEMALE,7,NORMAL,STRAY,11,2,0,3,2
BLACK,FEMALE,7,NORMAL,STRAY,19,0,0,3,2
TABBY,FEMALE,8,INJURED,STRAY,8,3,0,2,2
GRAY,FEMALE,8,NORMAL,STRAY,14,1,0,3,2
OTHER,FEMALE,6,NORMAL,STRAY,12,2,0,3,2
BLACK,MALE,10,ILL MILD,STRAY,127,0,1,0,2
TABBY,FEMALE,6,UNDER WEIGHT,STRAY,50,3,0,5,2
OTHER,MALE,11,NORMAL,OWNER SURRENDER,34,2,1,3,1
TABBY,FEMALE,11,NORMAL,OWNER SURRENDER,29,3,0,3,1
GRAY,FEMALE,7,OTHER,STRAY,42,1,0,4,2
WHITE,FEMALE,6,NORMAL,STRAY,14,4,0,3,2
TABBY,FEMALE,6,NORMAL,STRAY,8,3,0,3,2
BLACK,MALE,6,NORMAL,STRAY,19,0,1,3,2
BLACK,MALE,8,NORMAL,OWNER SURRENDER,10,0,1,3,1
TABBY,MALE,6,OTHER,STRAY,10,3,1,4,2
BLACK,MALE,6,NORMAL,STRAY,75,0,1,3,2
TABBY,FEMALE,6,NORMAL,STRAY,23,3,0,3,2
TABBY,MALE,6,NORMAL,STRAY,14,3,1,3,2
OTHER,FEMALE,8,NORMAL,STRAY,11,2,0,3,2
BLACK,MALE,6,NORMAL,STRAY,27,0,1,3,2
GRAY,MALE,6,OTHER,STRAY,42,1,1,4,2
BLACK,FEMALE,7,NORMAL,STRAY,31,0,0,3,2
TABBY,MALE,6,NORMAL,STRAY,18,3,1,3,2
