simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded,simplified_breed_encoded,simplified_size_encoded
BRN_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,81,2,0,2,2,1,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,32,2,0,0,1,1,0
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,80,2,1,2,2,1,0
ORG_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,70,7,0,2,2,1,0
BLACK,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,56,0,1,2,2,1,0
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,0,0,0,0,2,0,2
BLACK,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,31,0,1,0,1,1,0
GRAY_N_WHITE,MALE,0,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,43,4,1,1,2,0,0
MIX,MALE,0,HEALTHY,OWNER SURRENDER,OTHER,KITTN,18,6,1,0,1,2,0
BLACK,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,60,0,1,2,2,1,0
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,18,2,0,0,2,1,0
BRN_TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,44,2,1,0,2,0,2
GRAY_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,23,5,1,0,2,1,0
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,45,0,0,0,2,1,0
BLACK,MALE,2,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,55,0,1,0,2,0,2
GRAY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,34,3,1,0,2,0,0
GRAY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,20,3,1,0,2,1,2
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,28,2,0,0,2,1,0
GRAY_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,28,5,0,0,2,1,0
BRN_TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,55,2,1,0,2,1,2
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,46,2,1,0,2,0,2
GRAY_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,12,5,1,0,2,1,0
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,28,2,1,0,2,0,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,34,1,1,0,2,0,0
BLACK_N_WHITE,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,SMALL,43,1,1,1,2,1,2
GRAY,FEMALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,41,3,0,1,2,1,0
BLACK_N_WHITE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,9,1,0,0,1,1,0
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,9,10,0,0,1,1,0
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,33,0,0,0,2,1,0
BLACK_N_WHITE,MALE,0,HEALTHY,OTHER,DOMESTIC_SHORT_HAIR,KITTN,1,1,1,0,0,1,0
BLACK_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,27,1,0,0,2,1,2
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,31,10,0,0,1,0,2
BLACK,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,23,0,1,0,2,1,0
BLACK_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,20,1,0,0,2,1,0
GRAY_N_WHITE,FEMALE,4,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,10,4,0,0,1,0,2
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,45,2,1,0,2,1,0
BRN_TABBY,FEMALE,7,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,71,2,0,0,2,1,2
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,45,2,0,0,2,1,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,22,1,1,0,2,1,2
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,36,2,1,0,2,1,0
GRAY_N_WHITE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,32,4,0,0,1,0,2
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,29,0,0,0,2,1,2
BLACK_N_WHITE,FEMALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,12,1,0,1,2,1,0
TORTIE,FEMALE,1,HEALTHY,OTHER,DOMESTIC_SHORT_HAIR,SMALL,27,10,0,0,0,1,2
BLACK,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,12,0,1,1,2,1,0
BLACK_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,67,1,0,0,2,0,0
BRN_TABBY,FEMALE,2,OTHER,OTHER,DOMESTIC_SHORT_HAIR,SMALL,6,2,0,2,0,1,2
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,67,1,1,0,2,0,0
BLACK,MALE,3,HEALTHY,OTHER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,11,0,1,0,0,0,2
BRN_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,25,2,1,0,1,1,0
MIX,MALE,1,ILL,STRAY,OTHER,SMALL,11,6,1,1,2,2,2
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,25,2,1,0,2,1,0
BLACK_N_WHITE,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,41,1,1,2,2,1,0
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,63,0,0,0,2,1,0
BLACK_N_WHITE,MALE,4,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,41,1,1,0,2,0,2
ORG_TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,34,7,0,0,2,1,2
BLACK,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,43,0,1,2,2,1,0
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,47,2,1,2,2,1,0
OTHER,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,66,8,0,0,2,1,0
ORG_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,7,7,1,0,1,1,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,31,2,0,0,1,1,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,32,2,0,0,1,1,0
ORG_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,42,7,0,0,2,1,0
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,SMALL,18,2,1,2,2,1,2
ORG_TABBY,MALE,2,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,49,7,1,0,2,0,2
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,64,2,1,2,2,1,0
GRAY_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,36,5,1,0,2,1,0
BRN_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,2,2,1,0,1,1,0
MIX,MALE,2,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,59,6,1,0,2,1,2
GRAY_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,57,5,1,0,2,1,0
OTHER,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,39,8,0,0,2,1,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,69,6,0,0,2,1,0
BLACK,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,35,0,0,0,1,1,0
ORG_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,SMALL,23,7,1,0,1,1,2
TORTIE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,50,10,0,0,2,1,2
ORG_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,89,7,1,1,2,1,0
ORG_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,SMALL,29,7,1,0,1,1,2
TORTIE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,34,10,0,0,2,1,0
GRAY_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,9,4,1,0,2,1,2
BRN_TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,51,2,1,0,2,1,2
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,58,2,0,0,2,1,2
BLACK_N_WHITE,MALE,0,ILL,OTHER,DOMESTIC_SHORT_HAIR,SMALL,13,1,1,1,0,1,2
BLACK_N_WHITE,FEMALE,7,ILL,OTHER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,84,1,0,1,0,0,2
ORG_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,47,7,1,0,2,0,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,24,1,1,0,2,1,2
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,40,0,0,0,2,1,0
GRAY_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,29,5,1,0,1,1,0
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,29,2,0,0,2,1,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,20,1,1,0,2,1,2
GRAY_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,35,5,0,2,2,1,0
BRN_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,35,2,0,2,2,1,0
GRAY_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,45,5,0,2,2,0,0
GRAY_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,59,5,0,0,2,1,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,25,2,0,0,1,0,0
TORTIE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,79,10,0,0,2,1,0
TORTIE,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,36,10,0,2,2,1,0
BLACK_N_WHITE,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,81,1,0,2,2,1,0
ORG_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,16,7,1,0,2,1,2
GRAY_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,63,5,1,1,2,1,0
MIX,FEMALE,4,HEALTHY,STRAY,OTHER,SMALL,42,6,0,0,2,2,2
OTHER,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,82,8,1,0,2,1,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,15,6,0,0,2,1,2
BRN_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,52,2,1,1,2,1,0
GRAY_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,15,5,1,0,2,1,0
BRN_TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,73,2,0,2,2,0,0
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,45,2,0,0,2,1,2
BLACK,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,47,0,1,2,2,1,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,52,1,1,0,2,0,0
BLACK_N_WHITE,MALE,1,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,20,1,1,0,2,0,2
BLACK,FEMALE,1,HEALTHY,OTHER,DOMESTIC_SHORT_HAIR,SMALL,48,0,0,0,0,1,2
GRAY,MALE,0,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,57,3,1,1,2,0,0
GRAY_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,31,5,1,0,1,0,0
BLACK_N_WHITE,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,20,1,1,0,1,1,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,51,1,1,0,2,1,0
ORG_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,31,7,1,0,1,0,0
BLACK,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,SMALL,51,0,1,2,2,1,2
GRAY_N_WHITE,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,21,4,1,0,1,1,0
OTHER,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,85,8,1,0,2,1,0
OTHER,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,85,8,0,0,2,1,0
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,76,2,0,0,2,1,0
BRN_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,31,2,1,0,1,0,0
OTHER,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,16,8,1,0,2,0,0
GRAY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,51,3,1,2,2,1,0
GRAY_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,57,5,0,0,2,1,0
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,35,2,0,0,2,1,0
GRAY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,62,3,0,0,2,0,0
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,56,2,1,0,2,1,0
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,KITTN,20,6,0,0,1,2,0
GRAY_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,21,5,1,0,2,1,2
GRAY_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,29,4,1,0,2,1,2
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,3,2,1,0,2,0,0
OTHER_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,39,9,1,2,2,1,0
OTHER,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,25,8,0,0,1,0,0
TORTIE,FEMALE,1,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,27,10,0,0,2,1,2
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,23,10,0,0,1,0,2
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,34,1,1,0,2,0,0
BRN_TABBY,MALE,1,ILL,STRAY,DOMESTIC_SHORT_HAIR,OTHER,28,2,1,1,2,1,1
BLACK,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,37,0,1,0,1,0,0
MIX,FEMALE,1,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,66,6,0,0,2,0,2
GRAY_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,15,5,0,0,2,1,0
GRAY_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,35,5,1,0,1,1,0
BRN_TABBY,MALE,0,HEALTHY,OTHER,DOMESTIC_SHORT_HAIR,SMALL,64,2,1,0,0,1,2
ORG_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,67,7,1,2,2,1,0
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,38,10,0,0,1,0,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,38,2,0,0,1,0,0
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,30,1,1,0,2,0,2
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,26,0,0,0,2,1,0
BLACK_N_WHITE,FEMALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,46,1,0,2,2,1,0
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,46,2,1,2,2,0,0
MIX,MALE,0,HEALTHY,STRAY,OTHER,SMALL,27,6,1,0,2,2,2
BLACK_N_WHITE,FEMALE,2,OTHER,STRAY,DOMESTIC_SHORT_HAIR,SMALL,47,1,0,2,2,1,2
GRAY_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,40,5,1,0,1,1,0
BLACK,FEMALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,80,0,0,2,2,0,0
BLACK,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,57,0,0,0,2,1,2
BRN_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,30,2,1,0,1,1,0
GRAY_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,86,5,1,2,2,0,0
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,32,2,1,0,2,0,2
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,43,2,0,0,1,0,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,SMALL,52,2,0,0,1,2,2
BRN_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,KITTN,50,2,1,2,2,1,0
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,45,2,0,0,1,0,0
