Type,Breed,Color,Sex,Size,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Outcome Type,Intake Condition,Outcome Condition,Age,Color_encoded,Sex_encoded,Intake Condition_encoded,Intake Type_encoded,Breed_encoded,Size_encoded
CAT,DOMESTIC LH,BLACK/WHITE,Neutered,SMALL,A420773,09/29/2023,09/30/2023,1,STRAY,RETURN TO OWNER,HEALTHY,HEALTHY,10,1,2,0,5,8,3
CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,KITTN,A417889,05/30/2023,08/08/2023,70,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,22,3,3,5,13,0
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A418221,06/13/2023,08/08/2023,56,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,0,2,3,5,13,0
CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,A420264,09/12/2023,09/30/2023,18,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,18,2,0,3,34,0
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A419416,08/01/2023,09/30/2023,60,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,0,2,3,5,13,0
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,A419414,09/12/2023,09/30/2023,18,STRAY,ADOPTION,HEALTHY,HEALTHY,0,8,3,0,5,13,0
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,A419755,08/17/2023,09/30/2023,44,STRAY,ADOPTION,HEALTHY,HEALTHY,2,8,2,0,5,11,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A420237,09/07/2023,09/30/2023,23,STRAY,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,5,13,0
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,A418629,06/27/2023,08/11/2023,45,STRAY,ADOPTION,HEALTHY,HEALTHY,0,0,3,0,5,13,0
CAT,DOMESTIC MH,BLACK,Neutered,SMALL,A418390,06/17/2023,08/11/2023,55,STRAY,ADOPTION,HEALTHY,HEALTHY,3,0,2,0,5,11,3
CAT,DOMESTIC MH,GRAY,Neutered,KITTN,A418894,07/08/2023,08/11/2023,34,STRAY,ADOPTION,HEALTHY,HEALTHY,0,14,2,0,5,11,0
CAT,DOMESTIC SH,BLACK,Neutered,SMALL,A419564,08/10/2023,08/11/2023,1,CONFISCATE,RETURN TO OWNER,UNKNOWN,PENDING,13,0,2,3,2,13,3
CAT,DOMESTIC SH,BLACK,Neutered,SMALL,A419570,08/11/2023,08/11/2023,0,CONFISCATE,RETURN TO OWNER,UNKNOWN,PENDING,1,0,2,3,2,13,3
CAT,DOMESTIC LH,BLACK/WHITE,Neutered,KITTN,A420042,08/30/2023,10/03/2023,34,STRAY,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,5,8,0
