intake_type,intake_condition,sex_intake,age_intake,breed,color,sex_outcome,age_outcome,stay_length
3,7,0,12,2,0,3,36,31
3,7,2,36,3,2,2,36,3
3,7,1,12,1,2,2,48,68
1,7,0,12,2,8,3,24,24
3,7,1,12,2,0,2,24,30
3,7,1,12,1,0,2,24,40
3,7,0,36,2,3,3,36,11
3,7,1,72,2,0,2,72,4
1,7,1,60,2,0,2,60,5
3,3,1,36,2,4,2,36,163
3,7,0,12,2,0,3,36,69
1,7,3,24,2,6,3,24,5
1,7,1,36,2,2,2,36,5
3,7,0,36,2,7,3,24,45
3,7,0,72,2,2,3,84,48
1,7,0,12,2,0,3,48,83
3,7,1,24,2,0,2,24,4
3,7,1,12,2,0,2,24,8
1,7,3,12,3,5,3,12,2
1,7,0,12,2,7,3,36,46
1,7,1,24,2,4,2,36,3
3,7,1,12,2,0,2,24,17
1,7,0,12,2,7,3,24,28
3,7,0,48,2,2,3,24,55
3,7,0,12,1,0,3,36,59
1,11,0,48,2,1,3,24,40
3,3,1,48,2,0,2,60,28
3,7,0,36,2,4,3,36,40
3,7,1,36,2,0,2,24,55
3,7,0,12,2,0,0,24,16
3,7,1,48,3,5,2,24,41
3,7,0,36,2,2,3,36,4
3,7,3,96,2,6,3,96,54
1,7,0,108,2,2,3,120,8
3,7,0,12,1,0,3,36,59
3,7,0,12,2,0,3,24,6
3,7,0,12,3,5,3,12,50
1,7,3,48,2,4,3,48,73
3,7,0,12,2,8,3,48,65
1,7,0,60,2,2,3,60,5
3,7,1,12,0,4,2,36,37
3,7,0,24,2,3,3,24,4
1,7,1,12,2,0,2,24,26
1,7,0,12,2,6,3,36,40
3,7,1,24,2,0,2,24,6
3,7,1,12,2,4,2,24,5
1,7,0,36,3,3,0,36,9
3,7,1,12,2,0,2,36,43
3,7,3,84,0,7,3,84,8
3,3,1,12,2,2,2,24,26
1,7,1,24,2,0,2,48,49
3,7,1,24,2,4,2,24,8
3,7,0,12,2,7,3,24,16
3,7,0,24,2,3,3,24,6
1,7,0,36,2,3,3,48,15
1,7,1,36,2,0,2,36,9
3,7,1,48,2,2,2,60,40
3,7,1,24,2,8,2,24,56
3,7,1,72,2,4,2,84,39
1,11,1,48,2,5,2,24,40
3,7,0,48,2,7,3,36,67
1,7,0,48,2,0,3,60,37
1,7,3,96,2,0,3,96,29
1,7,0,24,2,0,3,24,3
3,7,1,24,2,4,2,24,3
3,7,0,48,2,1,3,24,55
3,7,0,36,0,2,3,48,7
3,7,2,120,2,4,2,120,41
3,7,0,12,2,7,3,24,16
1,7,0,36,2,1,3,36,26
1,7,0,12,2,1,3,24,25
3,7,1,12,0,4,2,36,37
3,7,1,12,2,2,2,12,22
3,7,1,24,2,0,2,24,9
3,7,1,12,2,4,2,24,19
1,7,2,36,2,1,2,36,13
1,7,0,36,2,2,3,36,5
3,7,1,12,2,2,2,24,24
1,7,3,24,2,2,3,24,101
3,7,1,48,2,2,2,24,55
3,7,0,12,1,1,0,24,4
3,7,1,72,2,4,2,72,4
3,7,3,24,2,2,3,24,10
3,7,0,24,2,6,3,24,10
3,7,1,24,2,2,2,36,45
3,7,1,36,2,0,2,24,58
1,7,1,36,1,8,2,36,9
1,7,2,156,2,0,2,156,209
3,7,0,12,2,2,3,12,7
1,7,0,60,1,7,3,60,3
3,7,1,24,2,8,2,24,56
3,7,1,12,1,4,2,36,34
3,3,3,36,0,0,3,36,128
3,7,1,36,2,2,2,36,6
1,7,2,120,2,8,2,120,148
3,7,2,36,1,0,2,36,26
3,7,1,12,2,0,2,24,7
1,7,0,12,2,1,3,12,49
3,7,1,12,2,8,2,48,71
3,7,1,12,0,0,1,24,4
3,7,1,12,2,4,2,24,5
3,7,0,48,3,5,3,24,32
3,7,1,24,2,0,2,24,13
3,7,0,12,1,4,3,24,8
3,7,1,24,2,8,2,24,56
3,7,1,60,2,5,2,96,63
3,7,1,12,0,5,2,24,15
1,7,0,60,2,4,3,60,5
3,7,0,24,3,2,3,36,4
3,7,1,12,2,0,2,12,129
3,7,0,12,3,6,3,12,5
3,7,1,24,2,2,2,24,11
1,7,0,12,2,1,3,24,28
3,7,1,12,2,0,2,48,96
3,7,1,12,2,1,2,24,14
3,7,1,12,2,1,2,48,92
3,7,1,12,2,2,2,24,15
3,7,1,24,2,8,2,24,56
3,7,1,48,2,0,2,24,36
1,7,1,12,2,1,2,24,24
3,7,1,12,2,2,2,12,7
3,7,1,24,0,5,2,24,10
3,7,0,84,2,5,3,96,8
3,7,1,24,2,4,2,24,59
3,8,0,12,2,0,3,12,12
3,7,1,24,0,1,2,24,12
1,7,1,36,2,0,2,36,5
3,7,1,12,2,4,2,24,42
1,7,0,24,2,0,3,60,98
1,7,1,36,3,2,1,36,9
3,7,2,96,1,4,2,96,38
1,7,2,84,2,2,2,84,0
3,7,1,36,2,4,2,36,48
3,7,2,36,2,0,2,36,42
3,7,1,12,2,0,2,24,7
3,7,2,24,1,0,2,24,17
3,7,1,24,2,0,2,24,6
3,7,0,36,3,1,3,36,34
1,7,3,24,2,2,3,24,42
3,7,0,60,2,6,3,60,3
3,7,1,36,2,2,2,24,49
1,7,0,36,2,2,3,48,48
3,7,0,48,2,2,3,48,7
3,7,1,48,2,1,2,24,55
3,7,1,24,3,5,2,36,5
1,7,1,12,2,1,2,24,22
1,7,1,60,2,4,2,60,5
3,7,0,24,2,3,3,24,6
3,7,0,36,2,8,3,24,52
1,7,0,12,2,0,3,12,81
1,7,1,12,2,1,2,24,23
3,7,1,12,2,4,1,24,4
3,7,1,48,3,5,2,24,36
3,7,0,24,2,2,3,24,23
1,7,1,24,2,0,2,24,5
3,7,0,12,2,0,3,12,32
1,11,1,48,2,1,2,24,38
3,7,0,12,2,0,3,24,29
3,7,0,48,2,0,3,36,65
3,7,3,24,2,8,3,48,896
3,7,0,12,2,3,3,24,42
3,7,0,12,2,2,3,24,14
3,7,2,12,1,0,2,12,4
3,7,0,12,2,0,3,24,6
1,7,1,48,2,2,2,48,11
3,7,3,84,2,4,3,96,70
3,7,0,12,2,2,3,24,37
3,7,0,12,2,0,3,72,134
1,7,1,36,2,4,2,36,9
1,7,1,12,2,2,2,36,33
3,7,0,36,2,4,3,24,59
3,7,0,48,3,5,3,24,36
3,7,3,36,1,8,3,60,58
3,7,1,24,2,8,2,24,9
1,7,1,12,2,2,2,12,187
3,7,1,24,2,2,2,24,13
3,7,1,48,2,0,2,36,75
1,7,0,24,2,6,3,24,5
1,7,1,12,2,4,2,24,28
1,7,2,48,2,0,2,48,7
3,7,0,36,2,7,3,36,21
1,7,2,168,2,2,2,168,76
3,7,0,48,2,0,3,24,35
3,7,0,12,2,6,3,24,4
3,7,1,12,0,2,2,36,52
1,7,1,12,2,2,2,12,319
3,7,3,24,2,1,3,36,6
3,7,1,48,2,0,2,24,40
1,7,1,12,1,2,2,24,29
3,7,0,36,2,0,3,24,42
1,7,3,60,2,6,3,60,20
3,7,2,96,2,4,2,96,4
3,7,1,12,2,0,2,24,6
3,7,0,12,2,2,0,12,15
1,7,2,96,2,2,2,96,16
3,7,1,24,2,0,2,24,6
3,7,2,12,2,0,2,72,148
1,7,1,12,1,1,2,12,50
3,7,0,24,2,5,3,24,61
3,7,0,12,2,2,3,24,30
2,11,0,60,2,0,3,60,28
3,7,1,12,2,0,2,24,48
3,7,1,12,2,0,2,24,43
3,7,0,36,3,5,3,36,84
1,7,0,24,2,0,3,24,2
3,7,0,24,2,3,3,84,138
1,7,0,24,2,7,3,24,30
1,7,3,48,2,2,3,48,224
3,7,1,12,1,4,2,24,5
1,7,3,84,2,8,3,84,6
3,7,3,84,1,3,3,84,6
1,7,2,36,2,8,2,36,0
3,7,0,12,2,2,3,24,39
3,7,1,48,2,0,2,36,72
3,7,0,48,2,2,3,24,37
3,7,1,12,2,5,1,12,3
1,7,1,36,2,2,2,24,52
3,7,0,12,0,7,3,24,17
2,7,3,120,2,8,3,120,31
3,7,1,12,2,1,2,24,34
1,7,1,12,2,0,2,12,59
3,7,1,12,2,4,2,60,116
3,11,1,12,2,5,2,24,35
3,7,0,12,2,6,3,12,4
1,7,0,108,1,3,3,132,45
3,7,0,12,2,3,3,24,22
3,7,1,24,2,0,2,24,10
1,7,0,36,2,0,0,48,9
3,7,0,12,2,1,0,24,18
3,7,0,24,2,2,3,24,5
1,7,1,48,2,0,2,48,26
3,3,1,84,2,2,2,96,28
3,7,0,12,2,2,3,36,49
3,7,0,12,1,0,3,12,6
3,7,1,12,2,0,2,24,32
2,7,1,108,3,0,2,120,23
3,7,0,12,2,6,3,24,13
3,7,0,60,2,3,3,24,33
1,7,1,24,2,2,2,24,11
3,7,3,36,2,2,3,36,5
3,7,0,12,1,7,3,24,43
3,7,0,48,2,7,3,36,64
1,7,3,24,1,1,3,24,10
1,7,0,12,0,0,3,12,39
1,7,2,72,0,4,2,72,19
3,7,0,12,2,6,3,36,72
1,7,2,24,2,2,2,24,79
1,7,0,60,1,1,0,72,0
3,7,1,12,2,0,2,24,28
3,7,2,36,2,2,2,48,374
1,7,1,12,1,2,2,24,2
3,7,0,12,2,1,3,24,41
1,7,3,12,2,6,3,12,16
1,7,1,36,3,5,2,36,13
3,7,0,48,2,2,3,24,39
1,7,3,24,0,2,3,24,53
3,11,0,24,2,4,3,36,25
3,7,0,48,2,2,3,48,4
3,7,0,12,2,2,3,24,75
1,7,2,24,2,4,2,24,22
3,7,0,12,0,0,3,132,298
3,7,1,12,2,0,2,36,51
3,7,2,12,2,0,2,12,24
3,3,1,12,2,5,2,12,44
3,8,0,72,2,6,3,24,72
3,7,0,48,1,0,3,24,47
3,7,0,24,2,2,3,24,37
3,7,1,36,2,1,2,24,45
3,7,0,36,2,0,3,24,50
3,3,0,12,2,1,0,24,7
1,7,0,36,2,7,3,36,24
1,7,0,12,2,0,3,24,20
3,7,0,12,2,1,3,36,96
3,11,0,48,2,7,3,24,61
3,7,1,24,2,2,2,36,9
1,7,0,24,2,2,3,36,17
3,7,1,12,2,5,2,12,4
1,7,3,156,2,0,3,156,27
3,7,0,36,2,0,3,24,62
1,7,2,180,2,0,2,180,32
3,7,0,12,2,0,3,24,11
3,7,0,12,2,8,3,24,5
3,7,1,48,2,4,2,48,19
1,7,2,12,2,2,2,12,8
3,7,1,48,2,1,2,36,75
1,7,1,12,2,0,2,12,11
1,7,3,108,2,1,3,108,44
3,7,1,48,2,0,2,24,57
3,7,0,12,2,8,3,36,56
3,7,1,12,3,1,2,24,21
3,7,1,24,2,4,2,36,21
3,7,1,48,2,2,2,48,96
3,7,1,12,2,2,2,24,21
3,7,0,48,2,5,3,12,30
3,7,0,60,2,6,3,72,30
3,7,0,12,0,1,3,24,8
3,7,1,48,1,4,2,24,55
3,7,0,12,2,5,3,36,70
1,7,1,12,2,2,1,24,2
3,7,1,36,2,1,2,24,68
3,7,0,12,2,3,3,24,82
3,7,0,48,1,0,3,24,49
1,7,1,24,2,8,2,24,9
3,7,1,36,2,0,2,36,95
1,7,2,12,2,2,2,12,15
1,8,0,12,2,0,3,24,89
1,7,1,12,2,4,2,24,58
3,7,0,12,2,1,3,24,4
1,7,0,48,2,0,3,24,40
3,7,0,12,2,0,3,36,75
3,7,0,12,3,1,3,24,56
