Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed
BLACK,Unknown,4,9/11/19,UNDER AGE/WEIGHT,STRAY,1092
BRN TABBY,Spayed,6,12/19/18,NORMAL,STRAY,799
BRN TABBY,Spayed,9,10/4/19,NORMAL,OWNER SURRENDER,760
ORG TABBY,Neutered,12,6/24/17,ILL MILD,STRAY,685
BRN TABBY,Neutered,8,7/13/17,NORMAL,STRAY,666
GRAY TABBY,Spayed,8,5/10/17,NORMAL,STRAY,661
BROWN,Spayed,19,7/19/17,NORMAL,OWNER SURRENDER,660
WHITE,Spayed,5,8/4/18,NORMAL,STRAY,658
BLACK,Neutered,2,6/11/21,NORMAL,STRAY,615
BLACK,Neutered,2,6/11/21,NORMAL,STRAY,615
TAN,Neutered,8,6/3/21,NORMAL,WELFARE SEIZED,610
WHITE,Female,6,11/29/19,INJURED  MILD,STRAY,530
GRAY TABBY,Spayed,7,12/15/17,NORMAL,STRAY,511
ORG TABBY,Neutered,2,5/12/21,UNDER AGE/WEIGHT,STRAY,484
ORG TABBY,Neutered,2,6/9/21,ILL MILD,STRAY,456
BLACK,Spayed,2,11/22/20,UNDER AGE/WEIGHT,STRAY,452
UNKNOWN,Spayed,4,5/1/22,NORMAL,"TRAP, NEUTER, RETURN",442
BLACK,Spayed,13,12/19/19,NORMAL,WELFARE SEIZED,434
BLACK,Female,2,7/9/21,NORMAL,STRAY,426
UNKNOWN,Spayed,6,8/20/22,NORMAL,STRAY,413
WHITE,Spayed,7,10/24/20,ILL MODERATETE,OWNER SURRENDER,409
BROWN,Neutered,6,12/31/17,NORMAL,STRAY,408
BRN TABBY,Spayed,2,5/13/21,UNDER AGE/WEIGHT,STRAY,398
GRAY,Female,2,8/25/21,NORMAL,STRAY,394
ORANGE,Neutered,5,1/23/21,ILL MILD,STRAY,390
WHITE,Spayed,7,6/26/19,NORMAL,STRAY,387
GRAY,Neutered,2,4/12/21,NORMAL,STRAY,366
BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366
BLACK,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366
BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366
BRN TABBY,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366
WHITE,Neutered,7,4/13/22,NORMAL,RETURN,345
