Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed,Primary_Color_encoded,Sex_encoded,Intake_Condition_encoded,Intake_Type_encoded
BRN TABBY,Spayed,6,12/19/18,NORMAL,STRAY,799,5,3,13,3
BRN TABBY,Spayed,9,10/4/19,NORMAL,OWNER SURRENDER,760,5,3,13,1
ORG TABBY,Neutered,12,6/24/17,ILL MILD,STRAY,685,22,2,7,3
BRN TABBY,Neutered,8,7/13/17,NORMAL,STRAY,666,5,2,13,3
GRAY TABBY,Spayed,8,5/10/17,NORMAL,STRAY,661,16,3,13,3
BROWN,Spayed,19,7/19/17,NORMAL,OWNER SURRENDER,660,7,3,13,1
WHITE,Spayed,5,8/4/18,NORMAL,STRAY,658,32,3,13,3
BLACK,Neutered,2,6/11/21,NORMAL,STRAY,615,0,2,13,3
BLACK,Neutered,2,6/11/21,NORMAL,STRAY,615,0,2,13,3
TAN,Neutered,8,6/3/21,NORMAL,WELFARE SEIZED,610,27,2,13,4
WHITE,Female,6,11/29/19,INJURED  MILD,STRAY,530,32,0,10,3
GRAY TABBY,Spayed,7,12/15/17,NORMAL,STRAY,511,16,3,13,3
ORG TABBY,Neutered,2,5/12/21,UNDER AGE/WEIGHT,STRAY,484,22,2,14,3
ORG TABBY,Neutered,2,6/9/21,ILL MILD,STRAY,456,22,2,7,3
BLACK,Spayed,2,11/22/20,UNDER AGE/WEIGHT,STRAY,452,0,3,14,3
BLACK,Spayed,13,12/19/19,NORMAL,WELFARE SEIZED,434,0,3,13,4
BLACK,Female,2,7/9/21,NORMAL,STRAY,426,0,0,13,3
WHITE,Spayed,7,10/24/20,ILL MODERATETE,OWNER SURRENDER,409,32,3,8,1
BROWN,Neutered,6,12/31/17,NORMAL,STRAY,408,7,2,13,3
BRN TABBY,Spayed,2,5/13/21,UNDER AGE/WEIGHT,STRAY,398,5,3,14,3
GRAY,Female,2,8/25/21,NORMAL,STRAY,394,15,0,13,3
ORANGE,Neutered,5,1/23/21,ILL MILD,STRAY,390,21,2,7,3
WHITE,Spayed,7,6/26/19,NORMAL,STRAY,387,32,3,13,3
GRAY,Neutered,2,4/12/21,NORMAL,STRAY,366,15,2,13,3
BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366,5,2,14,3
BLACK,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366,0,3,14,3
BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366,5,2,14,3
BRN TABBY,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,366,5,3,14,3
WHITE,Neutered,7,4/13/22,NORMAL,RETURN,345,32,2,13,2
GRAY TABBY,Spayed,9,7/18/17,NORMAL,STRAY,337,16,3,13,3
BLACK,Spayed,1,4/24/22,NORMAL,STRAY,334,0,3,13,3
GRAY,Female,9,8/6/17,NORMAL,STRAY,331,15,0,13,3
BLACK,Spayed,8,3/25/21,NORMAL,OWNER SURRENDER,329,0,3,13,1
GRAY,Spayed,4,5/5/22,NORMAL,OWNER SURRENDER,329,15,3,13,1
BRN TABBY,Neutered,7,4/9/18,FRACTIOUS,STRAY,327,5,2,5,3
BRN TABBY,Female,4,5/15/19,UNDER AGE/WEIGHT,STRAY,318,5,0,14,3
GRAY,Neutered,8,5/5/22,NORMAL,OWNER SURRENDER,316,15,2,13,1
BLACK,Male,6,7/30/17,UNDER AGE/WEIGHT,STRAY,314,0,1,14,3
GRAY TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,314,16,1,14,3
BRN TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,314,5,1,14,3
WHITE,Neutered,6,3/24/21,NORMAL,STRAY,308,32,2,13,3
BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,307,5,3,13,3
BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,307,5,3,13,3
GRAY,Neutered,2,6/12/21,NORMAL,OWNER SURRENDER,307,15,2,13,1
TORTIE DIL,Spayed,4,7/3/21,NORMAL,STRAY,305,30,3,13,3
GRAY,Neutered,2,11/7/21,UNDER AGE/WEIGHT,RETURN,305,15,2,14,2
WHITE,Spayed,5,5/3/20,ILL MILD,STRAY,298,32,3,7,3
BLACK,Neutered,9,4/3/17,NORMAL,STRAY,297,0,2,13,3
GRAY,Spayed,7,6/8/19,NORMAL,STRAY,294,15,3,13,3
WHITE,Spayed,9,3/15/19,NORMAL,OWNER SURRENDER,287,32,3,13,1
BLACK,Spayed,4,3/5/21,NORMAL,STRAY,285,0,3,13,3
BRN TABBY,Neutered,10,5/18/18,NORMAL,STRAY,284,5,2,13,3
BLACK,Spayed,3,9/30/20,UNDER AGE/WEIGHT,STRAY,283,0,3,14,3
BLACK,Spayed,5,4/7/21,NORMAL,OWNER SURRENDER,283,0,3,13,1
GRAY TABBY,Neutered,3,4/1/22,NORMAL,STRAY,280,16,2,13,3
GRAY TABBY,Neutered,9,5/24/20,NORMAL,OWNER SURRENDER,277,16,2,13,1
WHITE,Neutered,12,5/25/20,INJURED  MODERATE,STRAY,276,32,2,11,3
WHITE,Female,6,7/10/19,NORMAL,STRAY,275,32,0,13,3
WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275,32,1,14,3
WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275,32,0,14,3
WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275,32,1,14,3
WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275,32,0,14,3
BRN TABBY,Female,1,6/22/22,NORMAL,STRAY,275,5,0,13,3
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,271,0,3,13,3
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,271,0,3,13,3
BLACK,Neutered,6,5/28/19,INJURED  SEVERE,OWNER SURRENDER,268,0,2,12,1
GRAY,Spayed,5,5/5/22,NORMAL,OWNER SURRENDER,268,15,3,13,1
SNOWSHOE,Spayed,11,5/4/17,NORMAL,OWNER SURRENDER,266,26,3,13,1
CALICO,Spayed,2,5/28/21,NORMAL,STRAY,265,8,3,13,3
GRAY TABBY,Neutered,2,10/5/21,NORMAL,STRAY,264,16,2,13,3
BLACK,Spayed,8,7/25/18,INJURED  MILD,STRAY,261,0,3,10,3
BLACK,Spayed,2,4/2/21,NORMAL,STRAY,257,0,3,13,3
WHITE,Neutered,3,7/30/22,ILL MODERATETE,STRAY,256,32,2,8,3
BLACK,Neutered,5,6/20/18,NORMAL,STRAY,255,0,2,13,3
WHITE,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254,32,2,14,3
BRN TABBY,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254,5,3,14,3
BRN TABBY,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254,5,2,14,3
BLACK,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254,0,2,14,3
BLACK,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254,0,3,14,3
BLACK,Spayed,5,6/29/18,UNDER AGE/WEIGHT,STRAY,254,0,3,14,3
BLACK,Neutered,3,4/10/21,NORMAL,OWNER SURRENDER,249,0,2,13,1
BRN TABBY,Spayed,13,6/13/21,NORMAL,STRAY,249,5,3,13,3
GRAY TABBY,Spayed,8,8/12/17,NORMAL,STRAY,248,16,3,13,3
GRAY,Spayed,4,6/12/19,FRACTIOUS,STRAY,248,15,3,5,3
GRAY TABBY,Spayed,4,5/21/20,NORMAL,STRAY,247,16,3,13,3
BRN TABBY,Neutered,12,5/5/21,INJURED  MODERATE,STRAY,244,5,2,11,3
BLACK,Spayed,2,11/22/22,NORMAL,OWNER SURRENDER,244,0,3,13,1
BLACK,Spayed,4,4/7/21,NORMAL,STRAY,241,0,3,13,3
BLACK,Neutered,8,5/28/21,ILL MODERATETE,STRAY,239,0,2,8,3
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,238,0,3,13,3
