intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,31
Stray,Normal,Male,Other,Brown,Other,36,3
Stray,Normal,Male,Other,Brown,Tabby,1,68
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,24
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,30
Stray,Normal,Male,Other,Black_N_White,Solid,1,40
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,3,11
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,6,4
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,5,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,69
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,24,5
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,45
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,6,48
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,83
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,4
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,8
Owner_Surrender,Normal,Female,Other,Other,Other,12,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,46
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,2,3
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,17
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,28
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,55
Stray,Normal,Female,Other,Black,Solid,1,59
Owner_Surrender,Sick,Female,Domestic_Shorthair_Mix,Blue,Solid,1,40
Stray,Injured,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,4,28
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,36,40
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,55
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,16
Stray,Normal,Male,Other,Other,Other,1,41
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,96,54
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,9,8
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,6
Stray,Normal,Female,Other,Other,Other,12,50
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,48,73
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,65
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,5,5
Stray,Normal,Male,Other,Orange,Tabby,1,37
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,2,4
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,26
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,40
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,5
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,3,9
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,43
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,84,8
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,26
