intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length,intake_type_encoded,intake_condition_encoded,sex_intake_encoded,breed_encoded,CoatColor_encoded,CoatPattern_encoded
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,31,2,3,0,1,0,1
Stray,Normal,Male,Other,Brown,Other,36,3,2,3,1,2,3,0
Stray,Normal,Male,Other,Brown,Tabby,1,68,2,3,1,2,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,24,1,3,0,1,9,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,30,2,3,1,1,0,1
Stray,Normal,Male,Other,Black_N_White,Solid,1,40,2,3,1,2,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,3,11,2,3,0,1,4,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,6,4,2,3,1,1,1,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,5,5,1,3,1,1,0,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,69,2,3,0,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,24,5,1,3,0,1,7,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,5,1,3,1,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,45,2,3,0,1,8,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,6,48,2,3,0,1,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,83,1,3,0,1,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,4,2,3,1,1,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,8,2,3,1,1,0,1
Owner_Surrender,Normal,Female,Other,Other,Other,12,2,1,3,0,2,6,0
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,46,1,3,0,1,8,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,2,3,1,3,1,1,5,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,17,2,3,1,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,28,1,3,0,1,8,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,55,2,3,0,1,3,2
Stray,Normal,Female,Other,Black,Solid,1,59,2,3,0,2,0,1
Owner_Surrender,Sick,Female,Domestic_Shorthair_Mix,Blue,Solid,1,40,1,7,0,1,2,1
Stray,Injured,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,4,28,2,1,1,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,36,40,2,3,0,1,5,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,55,2,3,1,1,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,16,2,3,0,1,0,1
Stray,Normal,Male,Other,Other,Other,1,41,2,3,1,2,6,0
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,4,2,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,96,54,2,3,0,1,7,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,9,8,1,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,6,2,3,0,1,1,1
Stray,Normal,Female,Other,Other,Other,12,50,2,3,0,2,6,0
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,48,73,1,3,0,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,65,2,3,0,1,1,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,5,5,1,3,0,1,3,2
Stray,Normal,Male,Other,Orange,Tabby,1,37,2,3,1,2,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,2,4,2,3,0,1,4,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,26,1,3,1,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,40,1,3,0,1,7,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,6,2,3,1,1,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,5,2,3,1,1,5,2
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,3,9,1,3,0,2,4,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,43,2,3,1,1,0,1
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,84,8,2,3,0,2,8,1
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,26,2,1,1,1,3,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,49,1,3,1,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,2,8,2,3,1,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,16,2,3,0,1,8,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,2,6,2,3,0,1,4,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,3,15,1,3,0,1,4,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Tabby,3,9,1,3,1,1,0,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,4,40,2,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,0,56,2,3,1,1,9,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,6,39,2,3,1,1,5,2
Owner_Surrender,Sick,Male,Domestic_Shorthair_Mix,Other,Tabby,1,40,1,7,1,1,6,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,67,2,3,0,1,8,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,4,37,1,3,0,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,96,29,1,3,0,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,3,1,3,0,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,2,3,2,3,1,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,55,2,3,0,1,2,2
Stray,Normal,Female,Other,Brown,Tabby,3,7,2,3,0,2,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,120,41,2,3,1,1,5,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,36,26,1,3,0,1,2,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,25,1,3,0,1,2,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,22,2,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,9,2,3,1,1,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,19,2,3,1,1,5,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,3,13,1,3,1,1,2,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,5,1,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,24,2,3,1,1,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,101,1,3,0,1,3,2
